symbol,entry_time,entry_price,exit_time,exit_price,pnl_pct,exit_reason,max_favorable_excursion_pct,max_adverse_excursion_pct,elapsed_min,signal_score_at_entry,data_source,trade_date
5803.T,2026-04-10T00:33:06+00:00,5511.0,2026-04-10T00:33:12+00:00,5482.0,-0.52622,breakout_failure,0.0,-0.52622,0.1,80,yahoo_synthetic_push,2026-04-10
5803.T,2026-04-13T00:08:06+00:00,6004.0,2026-04-13T00:08:12+00:00,5924.0,-1.332445,hard_stop,0.0,-1.332445,0.1,80,yahoo_synthetic_push,2026-04-13
5016.T,2026-04-14T01:38:06+00:00,5011.0,2026-04-14T01:38:12+00:00,4975.0,-0.718419,breakout_failure,0.0,-0.718419,0.1,80,yahoo_synthetic_push,2026-04-14
9984.T,2026-04-14T00:18:00+00:00,4008.0,2026-04-14T00:18:12+00:00,3981.0,-0.673653,breakout_failure,0.0499,-0.673653,0.2,80,yahoo_synthetic_push,2026-04-14
9984.T,2026-04-14T00:44:00+00:00,4106.0,2026-04-14T00:44:06+00:00,4087.0,-0.462737,breakout_failure,0.0,-0.462737,0.1,80,yahoo_synthetic_push,2026-04-14
9984.T,2026-04-14T01:43:00+00:00,4203.0,2026-04-14T01:43:12+00:00,4184.0,-0.452058,breakout_failure,0.047585,-0.452058,0.2,80,yahoo_synthetic_push,2026-04-14
9984.T,2026-04-14T05:22:00+00:00,4252.0,2026-04-14T05:22:12+00:00,4242.0,-0.235183,breakout_failure,0.164628,-0.235183,0.2,80,yahoo_synthetic_push,2026-04-14
9984.T,2026-04-15T00:07:06+00:00,4475.0,2026-04-15T00:07:12+00:00,4405.0,-1.564246,hard_stop,0.0,-1.564246,0.1,65,yahoo_synthetic_push,2026-04-15
9984.T,2026-04-15T01:03:00+00:00,4503.0,2026-04-15T01:03:12+00:00,4494.0,-0.199867,breakout_failure,0.155452,-0.199867,0.2,80,yahoo_synthetic_push,2026-04-15
9984.T,2026-04-15T03:42:00+00:00,4518.0,2026-04-15T03:42:12+00:00,4496.0,-0.486941,breakout_failure,0.154936,-0.486941,0.2,80,yahoo_synthetic_push,2026-04-15
